id_alimento,id_usuario,nome_alimento,estado_alimento,alimento_verificado,grupo_alimentar,marca_alimento,dtt_criacao_alimento,alimento_ativo
1,,Arroz,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
2,,Arroz integral,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
3,,Milho,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
4,,Milho,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
5,,Milho,GRELHADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
6,,Milho,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
7,,Milho,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
8,,Canjiquinha de milho em grão,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
9,,Canjiquinha de milho em grão,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
10,,Xerém de milho,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
11,,Amendoim in natura,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
12,,Ervilha em grão,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
13,,Fava,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
14,,Mangalô amargo em grão,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
15,,Feijão-de-corda,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
16,,Feijão-verde,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
17,,Semente de linhaça,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
18,,Andu,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
19,,Grão de bico,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
20,,Lentilha,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
21,,Soja em grão,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
22,,Feijão,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
23,,Quirera,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
24,,Feijão-verde orgânico,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
25,,Feijão orgânico,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
26,,Pipoca light,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
27,,Arroz orgânico,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
28,,Arroz integral orgânico,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
29,,Feijão-de-soja orgânico,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
30,,Quinoa,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
31,,Batata-inglesa,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
32,,Batata-inglesa,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
33,,Batata-inglesa,GRELHADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
34,,Batata-inglesa,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
35,,Batata-inglesa,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
36,,Batata-inglesa,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
37,,Mandioquinha salsa,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
38,,Mandioquinha salsa,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
39,,Cenoura amarela,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
40,,Batata-doce,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
41,,Batata-doce,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
42,,Batata-doce,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
43,,Batata-doce,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
44,,Batata-doce,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
45,,Inhame,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
46,,Inhame,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
47,,Inhame,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
48,,Inhame,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
49,,Inhame,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
50,,Quicaré,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
51,,Mandioca,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
52,,Mandioca,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
53,,Mandioca,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
54,,Mandioca,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
55,,Mandioca,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
56,,Aipim,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
57,,Aipim,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
58,,Aipim,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
59,,Aipim,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
60,,Macaxeira,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
61,,Macaxeira,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
62,,Macaxeira,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
63,,Macaxeira,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
64,,Cará,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
65,,Cará,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
66,,Cará,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
67,,Inhame caraquento,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
68,,Batata,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
69,,Batata,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
70,,Batata,GRELHADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
71,,Batata,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
72,,Batata,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
73,,Batata,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
74,,Mandioquinha,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
75,,Mandioquinha,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
76,,Mandioquinha,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
77,,Rabanete,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
78,,Rabanete,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
79,,Beterraba,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
80,,Beterraba,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
81,,Beterraba,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
82,,Cenoura,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
83,,Cenoura,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
84,,Cenoura,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
85,,Cenoura,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
86,,Nabo,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
87,,Nabo,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
88,,Açafrão,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
89,,Batata-inglesa orgânica,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
