id_tabela_nutricional,kcal,porcao_padrao,qtde_acucar,qtde_alcool,qtde_calcio,qtde_carboidrato,qtde_ferro,qtde_fibra,qtde_gordura,qtde_monosaturada,qtde_polisaturada,qtde_potassio,qtde_proteina,qtde_saturada,qtde_sodio,qtde_trans,qtde_vitamina_a,qtde_vitamina_c,qtde_vitamina_d,qtde_vitamina_e,unidade_medida,id_alimento
1,135.6,100,,0.0,3.5,27.8,0.1,1.6,1.2,0.2,0.6,14.5,2.5,0.3,1.2,0.0,,,,0.1,GRAMA,1
2,130.9,100,,0.0,5.2,25.6,0.3,2.7,2.0,0.6,0.9,74.4,2.6,0.5,1.2,0.0,,,,0.1,GRAMA,2
3,160.1,100,3.2,0.0,3.1,25.1,0.5,4.2,7.2,1.7,4.0,212.1,3.3,1.1,245.0,0.0,13.2,6.2,,0.6,GRAMA,3
4,160.1,100,3.2,0.0,3.1,25.1,0.5,4.2,7.2,1.7,4.0,212.1,3.3,1.1,245.0,0.0,13.2,6.2,,0.6,GRAMA,4
5,160.1,100,3.2,0.0,3.1,25.1,0.5,4.2,7.2,1.7,4.0,212.1,3.3,1.1,245.0,0.0,13.2,6.2,,0.6,GRAMA,5
6,160.1,100,3.2,0.0,3.1,25.1,0.5,4.2,7.2,1.7,4.0,212.1,3.3,1.1,245.0,0.0,13.2,6.2,,0.6,GRAMA,6
7,160.1,100,3.2,0.0,3.1,25.1,0.5,4.2,7.2,1.7,4.0,212.1,3.3,1.1,245.0,0.0,13.2,6.2,,0.6,GRAMA,7
8,79.7,100,0.3,0.0,3.5,13.5,0.7,0.7,2.2,0.1,0.1,26.0,1.2,0.0,131.5,,1.8,,,0.2,GRAMA,8
9,63.0,100,0.3,0.0,3.5,13.5,0.7,0.7,0.3,0.1,0.1,26.0,1.2,0.0,131.5,,1.8,,,0.2,GRAMA,9
10,63.0,100,0.3,0.0,3.4,13.5,0.7,0.7,0.3,0.1,0.1,25.9,1.2,0.0,5.0,,1.8,,,0.0,GRAMA,10
11,567.0,100,4.0,0.0,92.0,16.1,4.6,8.5,49.2,24.4,15.6,705.0,25.8,6.8,18.0,,,,,8.3,GRAMA,11
12,109.1,100,5.9,0.0,27.0,15.6,1.5,5.5,3.1,0.7,1.7,271.0,5.4,0.5,3.0,0.0,40.1,14.2,,0.4,GRAMA,12
13,85.6,100,1.2,0.0,18.0,10.1,1.5,3.6,3.2,0.6,1.9,193.0,4.8,0.6,41.0,0.0,18.8,19.8,,0.3,GRAMA,13
14,85.6,100,1.2,0.0,18.0,10.1,1.5,3.6,3.2,0.6,1.9,193.0,4.8,0.6,41.0,0.0,18.8,19.8,,0.3,GRAMA,14
