id_alimento;id_usuario;nome_alimento;estado_alimento;alimento_verificado;grupo_alimentar;marca_alimento;alimento_ativo;dtt_criacao_alimento;id_tabela_nutricional;unidade_medida;porcao_padrao;kcal;qtde_proteina;qtde_gordura;qtde_carboidrato;qtde_alcool;qtde_fibra;qtde_saturada;qtde_monosaturada;qtde_polisaturada;qtde_trans;qtde_acucar;qtde_calcio;qtde_ferro;qtde_sodio;qtde_potassio;qtde_vitamina_a;qtde_vitamina_d;qtde_vitamina_e;qtde_vitamina_c
6300101;;Arroz (polido, parboilizado, agulha, agulhinha, etc.);Não se aplica;;VEGANO;;;;;;;135,62;2,50;1,20;27,78;;1,55;0,35;0,22;0,56;0,01;-;3,51;0,08;1,19;14,53;-;-;0,08;-
6300201;;Arroz integral;Não se aplica;;VEGANO;;;;;;;130,95;2,56;1,97;25,56;;2,72;0,45;0,62;0,86;0,01;-;5,15;0,26;1,23;74,42;-;-;0,08;-
6300701;;Milho (em grão);Cru(a);;VEGANO;;;;;;;160,14;3,32;7,18;25,11;;4,25;1,12;1,72;4,01;0,03;3,16;3,15;0,45;244,96;212,05;13,17;-;0,57;6,20
6300701;;Milho (em grão);Cozido(a);;VEGANO;;;;;;;160,14;3,32;7,18;25,11;;4,25;1,12;1,72;4,01;0,03;3,16;3,15;0,45;244,96;212,05;13,17;-;0,57;6,20
6300701;;Milho (em grão);Grelhado(a)/brasa/churrasco;;VEGANO;;;;;;;160,14;3,32;7,18;25,11;;4,25;1,12;1,72;4,01;0,03;3,16;3,15;0,45;244,96;212,05;13,17;-;0,57;6,20
6300701;;Milho (em grão);Assado(a);;VEGANO;;;;;;;160,14;3,32;7,18;25,11;;4,25;1,12;1,72;4,01;0,03;3,16;3,15;0,45;244,96;212,05;13,17;-;0,57;6,20
6300701;;Milho (em grão);Refogado(a);;VEGANO;;;;;;;160,14;3,32;7,18;25,11;;4,25;1,12;1,72;4,01;0,03;3,16;3,15;0,45;244,96;212,05;13,17;-;0,57;6,20
6300701;;Milho (em grão);Ensopado;;VEGANO;;;;;;;160,14;3,32;7,18;25,11;;4,25;1,12;1,72;4,01;0,03;3,16;3,15;0,45;244,96;212,05;13,17;-;0,57;6,20
6300701;;Milho (em grão);Não se aplica;;VEGANO;;;;;;;160,14;3,32;7,18;25,11;;4,25;1,12;1,72;4,01;0,03;3,16;3,15;0,45;244,96;212,05;13,17;-;0,57;6,20
6300706;;Canjiquinha de milho em grão;Cru(a);;VEGANO;;;;;;;79,68;1,24;2,20;13,50;;0,67;0,03;0,06;0,13;-;0,29;3,45;0,74;131,50;25,96;1,83;-;0,18;-
6300706;;Canjiquinha de milho em grão;Cozido(a);;VEGANO;;;;;;;62,95;1,24;0,31;13,50;;0,67;0,03;0,06;0,13;-;0,29;3,45;0,74;131,50;25,96;1,83;-;0,18;-
6300706;;Canjiquinha de milho em grão;Ensopado;;VEGANO;;;;;;;79,68;1,24;2,20;13,50;;0,67;0,03;0,06;0,13;-;0,29;3,45;0,74;131,50;25,96;1,83;-;0,18;-
6300706;;Canjiquinha de milho em grão;Mingau;;VEGANO;;;;;;;62,95;1,24;0,31;13,50;;0,67;0,03;0,06;0,13;-;0,29;3,45;0,74;131,50;25,96;1,83;-;0,18;-
6300706;;Canjiquinha de milho em grão;Sopa;;VEGANO;;;;;;;31,44;0,95;0,12;7,01;;0,71;0,03;0,06;0,13;-;0,29;3,45;0,74;131,50;25,96;1,83;-;0,18;-
6300706;;Canjiquinha de milho em grão;Não se aplica;;VEGANO;;;;;;;62,95;1,24;0,31;13,50;;0,67;0,03;0,06;0,13;-;0,29;3,45;0,74;131,50;25,96;1,83;-;0,18;-
6300707;;Xerém de milho;Não se aplica;;VEGANO;;;;;;;62,95;1,24;0,31;13,50;;0,67;0,03;0,06;0,13;-;0,29;3,37;0,74;5,01;25,93;1,83;-;0,03;-
6301001;;Amendoim (em grão) in natura;Não se aplica;;VEGANO;;;;;;;567,00;25,80;49,24;16,13;;8,50;6,83;24,43;15,56;-;4,00;92,00;4,58;18,00;705,00;-;-;8,33;-
6301101;;Ervilha em grão;Não se aplica;;VEGANO;;;;;;;109,09;5,36;3,06;15,63;;5,50;0,48;0,67;1,74;0,02;5,94;27,00;1,54;3,00;271,00;40,08;-;0,37;14,20
6301201;;Fava (em grão);Não se aplica;;VEGANO;;;;;;;85,62;4,80;3,17;10,10;;3,60;0,56;0,63;1,85;0,01;1,24;18,00;1,50;41,00;193,00;18,83;-;0,34;19,80
6301204;;Mangalô amargo em grão;Não se aplica;;VEGANO;;;;;;;85,62;4,80;3,17;10,10;;3,60;0,56;0,63;1,85;0,01;1,24;18,00;1,50;41,00;193,00;18,83;-;0,34;19,80
6301603;;Feijão-de-corda;Não se aplica;;VEGANO;;;;;;;121,33;3,17;3,13;20,32;;5,00;0,53;0,66;1,75;0,02;0,34;128,00;1,12;4,00;418,00;39,58;-;0,45;2,20
6301634;;Feijão-verde;Não se aplica;;VEGANO;;;;;;;121,33;3,17;3,13;20,32;;5,00;0,53;0,66;1,75;0,02;0,34;128,00;1,12;4,00;418,00;39,58;-;0,45;2,20
6302001;;Semente de linhaça;Não se aplica;;VEGANO;;;;;;;534,00;18,29;42,16;28,88;;27,30;3,66;7,53;28,73;-;1,55;255,00;5,73;30,00;813,00;-;-;0,31;0,60
