id_alimento,id_usuario,nome_alimento,estado_alimento,alimento_verificado,grupo_alimentar,marca_alimento,alimento_ativo,dtt_criacao_alimento,id_tabela_nutricional,unidade_medida,porcao_padrao,kcal,qtde_proteina,qtde_gordura,qtde_carboidrato,qtde_alcool,qtde_fibra,qtde_saturada,qtde_monosaturada,qtde_polisaturada,qtde_trans,qtde_acucar,qtde_calcio,qtde_ferro,qtde_sodio,qtde_potassio,qtde_vitamina_a,qtde_vitamina_d,qtde_vitamina_e,qtde_vitamina_c
1,,Arroz,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,1,GRAMA,100,135.6,2.5,1.2,27.8,0.0,1.6,0.3,0.2,0.6,0.0,,3.5,0.1,1.2,14.5,,,0.1,
2,,Arroz integral,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,2,GRAMA,100,130.9,2.6,2.0,25.6,0.0,2.7,0.5,0.6,0.9,0.0,,5.2,0.3,1.2,74.4,,,0.1,
3,,Milho,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,3,GRAMA,100,160.1,3.3,7.2,25.1,0.0,4.2,1.1,1.7,4.0,0.0,3.2,3.1,0.5,245.0,212.1,13.2,,0.6,6.2
4,,Milho,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,4,GRAMA,100,160.1,3.3,7.2,25.1,0.0,4.2,1.1,1.7,4.0,0.0,3.2,3.1,0.5,245.0,212.1,13.2,,0.6,6.2
5,,Milho,GRELHADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,5,GRAMA,100,160.1,3.3,7.2,25.1,0.0,4.2,1.1,1.7,4.0,0.0,3.2,3.1,0.5,245.0,212.1,13.2,,0.6,6.2
6,,Milho,ASSADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,6,GRAMA,100,160.1,3.3,7.2,25.1,0.0,4.2,1.1,1.7,4.0,0.0,3.2,3.1,0.5,245.0,212.1,13.2,,0.6,6.2
7,,Milho,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,7,GRAMA,100,160.1,3.3,7.2,25.1,0.0,4.2,1.1,1.7,4.0,0.0,3.2,3.1,0.5,245.0,212.1,13.2,,0.6,6.2
8,,Canjiquinha de milho em grão,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,8,GRAMA,100,79.7,1.2,2.2,13.5,0.0,0.7,0.0,0.1,0.1,,0.3,3.5,0.7,131.5,26.0,1.8,,0.2,
9,,Canjiquinha de milho em grão,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,9,GRAMA,100,63.0,1.2,0.3,13.5,0.0,0.7,0.0,0.1,0.1,,0.3,3.5,0.7,131.5,26.0,1.8,,0.2,
10,,Xerém de milho,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,10,GRAMA,100,63.0,1.2,0.3,13.5,0.0,0.7,0.0,0.1,0.1,,0.3,3.4,0.7,5.0,25.9,1.8,,0.0,
11,,Amendoim in natura,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,11,GRAMA,100,567.0,25.8,49.2,16.1,0.0,8.5,6.8,24.4,15.6,,4.0,92.0,4.6,18.0,705.0,,,8.3,
12,,Ervilha em grão,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,12,GRAMA,100,109.1,5.4,3.1,15.6,0.0,5.5,0.5,0.7,1.7,0.0,5.9,27.0,1.5,3.0,271.0,40.1,,0.4,14.2
13,,Fava,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,13,GRAMA,100,85.6,4.8,3.2,10.1,0.0,3.6,0.6,0.6,1.9,0.0,1.2,18.0,1.5,41.0,193.0,18.8,,0.3,19.8
14,,Mangalô amargo em grão,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,14,GRAMA,100,85.6,4.8,3.2,10.1,0.0,3.6,0.6,0.6,1.9,0.0,1.2,18.0,1.5,41.0,193.0,18.8,,0.3,19.8
15,,Feijão-de-corda,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,15,GRAMA,100,121.3,3.2,3.1,20.3,0.0,5.0,0.5,0.7,1.8,0.0,0.3,128.0,1.1,4.0,418.0,39.6,,0.5,2.2
16,,Feijão-verde,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,16,GRAMA,100,121.3,3.2,3.1,20.3,0.0,5.0,0.5,0.7,1.8,0.0,0.3,128.0,1.1,4.0,418.0,39.6,,0.5,2.2
17,,Semente de linhaça,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,17,GRAMA,100,534.0,18.3,42.2,28.9,0.0,27.3,3.7,7.5,28.7,,1.6,255.0,5.7,30.0,813.0,,,0.3,0.6
18,,Andu,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,18,GRAMA,100,97.4,5.8,1.8,15.1,0.0,3.8,0.3,0.4,1.0,0.0,0.3,55.2,2.2,5.2,336.6,,,0.7,
